title,field_price_offer_text,field_day_of_week,field_start_time,field_deal_category,field_venue,field_active,field_recurring,field_end_time,field_cta,field_cta_title,field_venue_external_source,field_venue_external_id,field_venue_geoapify_category
"Birthday Month 10% Off - The Med Spa of New Smyrna Beach","10% off one service or one product during your birthday month; injectables excluded.","Daily","","Birthday Special","The Med Spa of New Smyrna Beach - New Smyrna Beach","1","1","","https://themedspansb.com/specials/","View special","","",""
"New Patient Botox and Facial Special - The Med Spa of New Smyrna Beach","New patients can receive Botox for $9.99 per unit and $25 off a HydraFacial Deluxe or DiamondGlow facial.","Daily","","New Patient Special","The Med Spa of New Smyrna Beach - New Smyrna Beach","1","0","","https://themedspansb.com/specials/","View special","","",""
"Free PEMF Therapy Demo - Natural Health Practices","Free 10-15 minute Pulsed Electromagnetic Field therapy demonstration session.","Daily","","Free Trial","Natural Health Practices - Port Orange","1","1","","https://www.naturalhealthpractices.com/specials/","View special","","",""
"20% Off Chiropractic and Nutrition Visits - Natural Health Practices","Save 20% on chiropractic and nutrition office visits with a prepayment plan.","Daily","","Wellness Special","Natural Health Practices - Port Orange","1","1","","https://www.naturalhealthpractices.com/specials/","View special","","",""
"New Member Introductory Rate","Introductory member pricing","Daily","","Membership Promotion","Massage Envy - Port Orange","1","1","","","","","",""
"Tuesday Bowling Special","Discounted games every Tuesday","Tuesday","","Weekly Special","Smyrna Bowling Center - New Smyrna Beach","1","1","","","","","",""
"Twilight Bowling","Evening discounted bowling","Friday","18:00","Weekly Special","Smyrna Bowling Center - New Smyrna Beach","1","1","22:00","","","","",""
"Season Pass Promotion","Discounted season pass during promotional periods","Daily","","Season Pass","Daytona Lagoon - Daytona Beach","1","1","","","","","",""
"First Visit Grooming Offer","New client grooming discount","Daily","","New Customer","Pet Paradise - Port Orange","1","1","","","","","",""
"Group Booking Discount","Discount available for qualifying group reservations","Daily","","Group Discount","Escape U - Daytona Beach","1","1","","","","","",""
"New Client Grooming Offer","Discount for first grooming appointment","Daily","","New Customer","Woof Gang Bakery & Grooming - Ormond Beach","1","1","","","","","",""
"New Client MVP Upgrade","Complimentary MVP upgrade for first-time clients","Daily","","New Customer","Sport Clips Haircuts - Port Orange","1","1","","","","","",""
"Online Check-In Coupon","Recurring promotional haircut coupon","Daily","","Promotion","Great Clips - Edgewater","1","1","","","","","",""
"First Wax Free","Complimentary eyebrow, nose or underarm wax for first-time guests","Daily","","New Customer","European Wax Center - Port Orange","1","1","","","","","",""
"Introductory Massage Rate","Discounted first massage or facial for new guests","Daily","","New Customer","Hand & Stone Massage and Facial Spa - Daytona Beach","1","1","","","","","",""
"Free Chocolate Factory Tour","Complimentary guided factory tour","Monday","","Free Attraction","Angell & Phelps Chocolate Factory - Daytona Beach","1","1","","","","","",""
"Family Pack Savings","Discounted admission with qualifying family package","Daily","","Family Offer","Daytona Beach Zipline Adventure - Daytona Beach","1","1","","","","","",""
"Senior Discount Haircut","Discounted haircut for qualifying seniors","Tuesday","","Senior Special","Supercuts - Ormond Beach","1","1","","","","","",""
"Family Haircut Coupon","Recurring family haircut savings","Daily","","Promotion","Fantastic Sams - Port Orange","1","1","","","","","",""
"Unlimited Laser Tag Night","Unlimited laser tag during select evening sessions","Friday","18:00","Weekly Special","Planet 14 Laser Tag & Arcade - Daytona Beach","1","1","21:00","","","","",""
"First Grooming Visit Discount","Discount for first-time grooming appointment","Daily","","New Customer","PawZazz Pet Salon - New Smyrna Beach","1","1","","","","","",""
"New Client Pedicure Special","Introductory savings for first-time nail service","Monday","","New Customer","Magic Nails & Spa - Port Orange","1","1","","","","","",""
"Weekday Kayak Rental Special","Discounted weekday kayak rental","Monday","","Outdoor Special","Tomoka Outpost - Ormond Beach","1","1","","","","","",""
"Grand Opening Stylist Specials","Promotional pricing offered by participating salon professionals","Daily","","Promotion","Sola Salon Studios - Port Orange","1","1","","","","","",""
"First Groom Discount","Savings for first professional pet grooming appointment","Daily","","New Customer","PetSmart Grooming - Daytona Beach","1","1","","","","","",""
"Group Escape Discount","Discounted pricing for qualifying group reservations","Daily","","Group Discount","Daytona Escape Game - Daytona Beach","1","1","","","","","",""
"Free Community Admission","Free admission to select community events","Saturday","","Community Event","Launch Credit Union Event Center - Port Orange","1","1","","","","","",""
"Unlimited Wash Intro Offer","Discounted first month of unlimited wash membership","Daily","","Membership Promotion","Suds Up Car Wash - Edgewater","1","1","","","","","",""
"New Client Manicure Special","Introductory savings on first manicure service","Tuesday","","New Customer","Ocean Nails & Spa - New Smyrna Beach","1","1","","","","","",""
"New Grooming Client Offer","Savings on first full-service grooming visit","Daily","","New Customer","Woof Gang Bakery & Grooming - Port Orange","1","1","","","","","",""
"Weekday Massage Special","Discounted massage available on select weekdays","Wednesday","","Spa Special","The Spa at Riverview - New Smyrna Beach","1","1","","","","","",""
"First Pet Groom Discount","Introductory discount for first grooming appointment","Daily","","New Customer","Pawfection Pet Salon - Edgewater","1","1","","","","","",""
"Family Jump Pass","Discounted admission for qualifying family jump sessions","Sunday","","Family Offer","Altitude Trampoline Park - Daytona Beach","1","1","","","","","",""
"Half-Price Game Night","Discounted arcade game play during select evenings","Wednesday","17:00","Weekly Special","GameTime - Daytona Beach","1","1","21:00","","","","",""
"Unlimited Wash Intro","Discounted first month of unlimited wash membership","Daily","","Membership Promotion","AutoSpa Express - Daytona Beach","1","1","","","","","",""
"Student Salon Savings","Discounted salon services performed by supervised students","Tuesday","","Beauty Promotion","SalonCentric Academy - Daytona Beach","1","1","","","","","",""
"New Pet Grooming Client Offer","Savings on first full-service grooming appointment","Daily","","New Customer","Bark Avenue Pet Salon - Ormond Beach","1","1","","","","","",""
"Private Group Escape Discount","Reduced pricing for qualifying private group bookings","Daily","","Group Discount","Escape Artists - Ormond Beach","1","1","","","","","",""
"Dollar Game Night","Discounted bowling games during select evening hours","Thursday","18:00","Weekly Special","Victory Lanes Sports Complex - Daytona Beach","1","1","21:00","","","","",""
"Midweek Massage Special","Special pricing on select weekday massage appointments","Wednesday","","Spa Special","Blue Water Spa - New Smyrna Beach","1","1","","","","","",""
"Unlimited Wash First Month","Promotional first month for unlimited wash membership","Daily","","Membership Promotion","Magic Car Wash - Port Orange","1","1","","","","","",""
